# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 1583
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -2      21       10625                 -1 22848.0000   0.000   0.0000 0.00000
   1      1      21       14721                 -1 -23232.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0  -1.0859  81.750  -0.2104 138.00000
   3     25      22        4481                  0  -1.1523 125.000   2.9297 138.00000
   4    -24      44         257                  2  -1.0977  81.750  -0.2295 137.00000
   5     25      44         257                  3  -1.1484 125.000   2.9531 139.50000
   6    -24      44       16641                  4  -1.0938  81.750  -0.2251 137.50000
   7     25      44         257                  5  -1.1523 125.000   2.9453 139.00000
   8    -24      51         257                  6  -1.0938  81.750  -0.2251 137.50000
   9    -24      62       10497                  8  -1.0938  81.750  -0.2319 139.00000
  10     25      62       10497                  7  -1.1523 125.000   2.9531 137.00000
  11     22       1        8193                  6   0.0289   0.000   1.4648 0.00000
  12     13       1       12673                  9  -0.6699   0.000   0.2065 77.50000
  13    -14       1       12673                  9  -1.2891   0.000  -0.6777 76.50000
  14     35      22       14721                 10  -1.5820  40.000  -2.6562 51.62500
  15     35      22       31105                 10  -0.6875  40.000   2.6328 101.75000
  16      5      23        4481                 14  -2.7500   0.000   2.2031 5.87500
  17     -5      23       22913                 14  -1.1719   0.000  -2.5469 51.12500
  18     22       1       12673                 15  -0.8516   0.000   2.7188 78.00000
  19     22       1       12673                 15  -0.0343   0.000   2.3672 24.81250
  20      5      71        8449                 16  -2.9297   0.000   2.3984 2.84375
  21     -5      71        8449                 17  -1.1953   0.000  -2.6250 47.25000
  22   -511       2       12291                 17  -3.0625   5.281   2.1719 2.47656
  23    521       2       12291                 17  -1.2148   5.281  -2.6250 43.62500
  24      2      71        8193                 -1   4.1406   0.000   1.6445 0.76758
  25     -1      71        8193                 -1  -6.7500   0.000  -1.2930 1.54688
  26     16       1       12352                 22  -3.0078   0.000   2.4453 0.64648
  27    -15       2       28738                 22  -2.0938   0.000   1.7266 1.73047
  28   -413       2       12354                 22  -3.7109   2.008  -3.0156 0.64062
  29   -413       2       12354                 23  -1.2031   2.008  -2.6406 22.18750
  30     11       1       12352                 24  -3.9297   0.000  -1.7539 0.09253
  31    -11       1       12352                 24  -3.9297   0.000  -1.7617 0.47949
  32    -16       1       12308                 27  -1.9609   0.000   2.2734 0.63281
  33     22       1       12308                 27  -1.5898   0.000  -2.7578 0.23779
  34    111       2       28694                 27  -1.2461   0.000   1.4297 0.78320
  35    211       1       12308                 27  -2.2812   0.000   1.1406 0.59570
  36   -421       2       12354                 28  -3.6875   0.000  -2.9922 0.59766
  37   -421       2       12354                 29  -1.2031   0.000  -2.6406 20.18750

Event Number : 2046
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23424.0000   0.000   0.0000 0.00000
   1     -3      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   2.6328  91.500   1.0469 52.37500
   3     25      22        4481                  0   2.3906 125.000  -2.0938 52.37500
   4     24      44         257                  2   2.5000  91.500   1.0078 63.87500
   5     25      44         257                  3   2.6484 125.000  -2.0469 43.12500
   6     24      44         257                  4   2.5000  91.500   1.0156 63.75000
   7     25      44         257                  5   2.6406 125.000  -2.0625 43.25000
   8     24      62       10497                  6   2.4922  91.500   1.0156 64.50000
   9     25      62       10497                  7   2.6562 125.000  -2.0625 42.62500
  10    -11       1       12673                  8   1.4883   0.000   1.3594 66.00000
  11     12       1       12673                  8   3.1016   0.000  -0.4482 22.31250
  12     35      22       14721                  9   2.0078  40.000  -0.3691 40.75000
  13     35      22       31105                  9   1.6289  40.000  -2.7656 62.50000
  14      5      23       22913                 12   1.6328   0.000  -2.1328 11.40625
  15     -5      23        4481                 12   1.7305   0.000  -0.1143 44.37500
  16      5      51        8449                 14   1.1719   0.000  -1.5586 7.84375
  17     -5      52        8449                 15   1.7344   0.000  -0.1150 40.00000
  18     22       1       12673                 13   1.5820   0.000  -2.5625 59.25000
  19     22       1       12673                 13   0.9902   0.000   2.2969 13.00000
  20      1      71        8193                 -1  -1.4531   0.000  -2.3438 1.67969
  21     -2      71        8193                 -1  -2.0703   0.000  -1.0039 1.27734
  22   -523       2       28675                 14   1.2461   5.328  -1.5781 7.62500
  23    533       2       28675                 14   1.7383   5.422  -0.1169 35.87500
  24   -521       2       12354                 22   1.2422   5.281  -1.5781 7.54688
  25    531       2       12354                 23   1.7383   5.359  -0.1177 35.50000
  26     11       1       12352                 20  -2.2031   0.000  -0.8438 0.12646
  27    -11       1       12352                 20  -2.2266   0.000  -0.8086 0.32227
  28   -413       2       12354                 24   1.2773   2.008  -1.1211 2.14062
  29    423       2       12354                 24   1.2422   2.008  -1.7383 4.37500
  30    431       2       12354                 25   1.7539   1.969  -0.1123 17.18750
  31   -421       2       12354                 28   1.2852   0.000  -1.1211 2.01562
  32    421       2       12354                 29   1.2344   0.000  -1.7305 4.07812
  33    -15       2       28738                 30   1.7617   0.000  -0.1028 16.06250
  34     16       1       12352                 30   1.6758   0.000  -0.2461 1.14062
  35    -16       1       12308                 33   1.9141   0.000  -0.1953 2.32812
  36     22       1       12308                 33   1.6836   0.000  -0.0560 6.28125
  37    111       2       28694                 33   1.9414   0.000  -0.0391 1.21484
  38    211       1       12308                 33   1.7344   0.000  -0.1279 6.26562
  39     22       1       12356                 37   1.7891   0.000   0.4248 0.06128
  40     22       1       12356                 37   1.9414   0.000  -0.0627 1.16016

Event Number : 2876
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -25792.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0  -3.1562  80.250  -0.3594 113.25000
   3     25      22        4481                  0  -3.3984 125.000   2.7812 113.25000
   4     24      44         257                  2  -2.7109  80.250   0.0487 54.00000
   5     25      44         257                  3  -3.0234 125.000   2.6484 188.50000
   6     24      44         257                  4  -2.7422  80.250  -0.0813 48.00000
   7     25      44         257                  5  -3.0156 125.000   2.7031 191.50000
   8     24      44         257                  6  -2.7500  80.250  -0.0864 47.25000
   9     25      44         257                  7  -3.0156 125.000   2.7031 192.00000
  10     24      44         257                  8  -2.7500  80.250  -0.0928 47.50000
  11     25      44         257                  9  -3.0234 125.000   2.7109 190.50000
  12     24      44         257                 10  -2.7500  80.250  -0.0935 47.37500
  13     25      44         257                 11  -3.0234 125.000   2.7109 190.50000
  14     24      62       10497                 12  -2.7500  80.250  -0.0991 47.25000
  15     25      62       10497                 13  -3.0234 125.000   2.7188 190.50000
  16    -11       1       12673                 14  -1.8477   0.000  -1.5312 36.12500
  17     12       1       12673                 14  -2.2422   0.000   0.6016 55.37500
  18     35      22       14721                 15  -2.4453  40.000   2.7578 69.50000
  19     35      22       31105                 15  -3.2500  40.000   2.6953 121.25000
  20      5      23       12673                 18  -2.5625   0.000  -2.7656 23.87500
  21     -5      23       12673                 18  -2.1953   0.000   2.4531 54.50000
  22     22       1       12673                 19  -3.0859   0.000   2.6094 104.25000
  23     22       1       12673                 19  -3.7656   0.000  -3.1094 19.56250
  24   -523       2       28675                 20  -2.5547   5.328  -2.8125 18.12500
  25    533       2       28675                 20  -2.2031   5.422   2.4609 51.50000
  26      1      71        8193                 -1  -1.4297   0.000   0.3516 2.56250
  27     21      71        8193                 -1  -2.4297   0.000  -0.6230 11.18750
  28     21      71        8193                 -1  -2.3438   0.000  -0.7148 70.00000
  29     21      71        8193                 -1  -2.3438   0.000  -0.7520 39.87500
  30     21      71        8193                 -1  -2.2422   0.000  -0.7285 9.00000
  31     21      71        8193                 -1  -1.6953   0.000  -1.5898 8.93750
  32     -2      71        8193                 -1   1.7109   0.000   0.8789 1.60938
  33    111       2       28738                 26  -2.3516   0.000  -0.7480 14.62500
