
Event 0
        W- [-24] (status=52) pt=23.19, eta=-2.43, phi=-2.95, mass=82.00
          e- [11] (status=1) pt=50.88, eta=-0.91, phi=-3.05, mass=0.00
          nu(e)~ [-12] (status=1) pt=27.88, eta=-1.75, phi=0.01, mass=0.00
      b~ [-5] (status=23) pt=91.00, eta=-1.37, phi=1.80, mass=0.00
        u~ [-2] (status=71) pt=28.50, eta=-0.69, phi=1.82, mass=0.00
        b~ [-5] (status=71) pt=14.34, eta=-2.70, phi=2.64, mass=0.00
        B*+ [523] (status=2) pt=12.88, eta=-2.70, phi=2.62, mass=5.33
          B+ [521] (status=2) pt=12.88, eta=-2.70, phi=2.62, mass=5.28
            D~0 [-421] (status=2) pt=11.00, eta=-2.67, phi=2.67, mass=0.00
    gamma [22] (status=1) pt=15.59, eta=-0.37, phi=-2.09, mass=0.00
  g [21] (status=23) pt=46.38, eta=-0.11, phi=-3.03, mass=0.00
    g [21] (status=52) pt=37.25, eta=-0.11, phi=-3.05, mass=0.00
      D~0 [-421] (status=2) pt=7.27, eta=0.15, phi=-3.13, mass=0.00
      c [4] (status=71) pt=27.00, eta=-0.17, phi=-3.03, mass=0.00
        D*(2007)0 [423] (status=2) pt=17.06, eta=-0.18, phi=-3.02, mass=2.01
          D0 [421] (status=2) pt=16.12, eta=-0.18, phi=-3.02, mass=0.00
        pi0 [111] (status=2) pt=11.38, eta=2.38, phi=-2.11, mass=0.00
          gamma [22] (status=1) pt=10.06, eta=2.38, phi=-2.11, mass=0.00

Event 1
g [21] (status=21) pt=0.00, eta=23040.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=108.00, eta=-1.82, phi=-0.16, mass=173.00
    t [6] (status=62) pt=111.00, eta=-1.82, phi=-0.16, mass=172.82
      W+ [24] (status=22) pt=66.75, eta=-2.20, phi=0.44, mass=80.00
        W+ [24] (status=52) pt=66.25, eta=-2.20, phi=0.44, mass=80.00
          e+ [-11] (status=1) pt=46.12, eta=-1.02, phi=0.20, mass=0.00
          nu(e) [12] (status=1) pt=23.94, eta=-2.99, phi=0.89, mass=0.00
      b [5] (status=23) pt=67.75, eta=-0.52, phi=-0.76, mass=0.00
        b [5] (status=71) pt=39.88, eta=-0.67, phi=-0.71, mass=0.00
        B(s)*~0 [-533] (status=2) pt=41.62, eta=-0.64, phi=-0.72, mass=5.42
          B(s)~0 [-531] (status=2) pt=41.12, eta=-0.64, phi=-0.72, mass=5.36
            D(s)+ [431] (status=2) pt=14.28, eta=-0.65, phi=-0.72, mass=1.97
  t~ [-6] (status=22) pt=305.00, eta=0.41, phi=2.43, mass=173.50
    t~ [-6] (status=62) pt=271.00, eta=0.52, phi=2.38, mass=173.28
      W- [-24] (status=22) pt=146.50, eta=0.91, phi=2.26, mass=81.25
        W- [-24] (status=51) pt=132.50, eta=0.92, phi=2.30, mass=81.25
          W- [-24] (status=52) pt=132.00, eta=0.92, phi=2.30, mass=81.25
            e- [11] (status=23) pt=10.78, eta=0.13, phi=-0.31, mass=0.00
              e- [11] (status=1) pt=10.62, eta=0.13, phi=-0.31, mass=0.00
              gamma [22] (status=1) pt=0.14, eta=0.13, phi=-0.31, mass=0.00
            nu(e)~ [-12] (status=23) pt=141.50, eta=0.86, phi=2.34, mass=0.00
              nu(e)~ [-12] (status=1) pt=141.50, eta=0.86, phi=2.34, mass=0.00
        gamma [22] (status=1) pt=20.69, eta=0.55, phi=2.13, mass=0.00
      b~ [-5] (status=23) pt=126.50, eta=-0.05, phi=2.52, mass=0.00
        g [21] (status=71) pt=25.88, eta=-0.01, phi=2.61, mass=0.00
        b~ [-5] (status=71) pt=83.00, eta=-0.05, phi=2.48, mass=0.00
        Lambda(b)~0 [-5122] (status=2) pt=85.25, eta=-0.04, phi=2.49, mass=5.62
          nu(mu) [14] (status=1) pt=5.47, eta=0.04, phi=2.39, mass=0.00
          mu+ [-13] (status=1) pt=53.12, eta=-0.07, phi=2.51, mass=0.00
          Lambda(c)~- [-4122] (status=2) pt=26.69, eta=-0.01, phi=2.48, mass=2.29
  g [21] (status=23) pt=221.00, eta=-2.81, phi=-0.97, mass=0.00
    g [21] (status=44) pt=208.50, eta=-2.78, phi=-0.98, mass=0.00
      d~ [-1] (status=71) pt=40.50, eta=-2.81, phi=-0.99, mass=0.00
      d [1] (status=71) pt=145.00, eta=-2.77, phi=-0.99, mass=0.00
      omega(782) [223] (status=2) pt=120.00, eta=-2.77, phi=-0.99, mass=0.78
        pi0 [111] (status=2) pt=18.44, eta=-2.77, phi=-1.00, mass=0.00
          gamma [22] (status=1) pt=12.94, eta=-2.77, phi=-1.00, mass=0.00
        gamma [22] (status=1) pt=101.50, eta=-2.77, phi=-0.98, mass=0.00
    g [21] (status=71) pt=2.86, eta=-1.78, phi=0.19, mass=0.00
    g [21] (status=71) pt=0.87, eta=-3.02, phi=-0.38, mass=0.00
    g [21] (status=71) pt=1.20, eta=-1.61, phi=0.26, mass=0.00
    g [21] (status=71) pt=2.20, eta=-3.71, phi=-0.61, mass=0.00
    g [21] (status=71) pt=0.38, eta=-4.00, phi=0.63, mass=0.00
    g [21] (status=71) pt=4.09, eta=-3.00, phi=-1.03, mass=0.00
    g [21] (status=71) pt=2.33, eta=-2.57, phi=-1.22, mass=0.00
    g [21] (status=71) pt=8.81, eta=-2.64, phi=-0.99, mass=0.00
    g [21] (status=71) pt=4.72, eta=-2.77, phi=-1.10, mass=0.00
    g [21] (status=71) pt=12.28, eta=-2.78, phi=-0.92, mass=0.00

Event 1
g [21] (status=21) pt=0.00, eta=23040.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=108.00, eta=-1.82, phi=-0.16, mass=173.00
    t [6] (status=62) pt=111.00, eta=-1.82, phi=-0.16, mass=172.82
      W+ [24] (status=22) pt=66.75, eta=-2.20, phi=0.44, mass=80.00
        W+ [24] (status=52) pt=66.25, eta=-2.20, phi=0.44, mass=80.00
          e+ [-11] (status=1) pt=46.12, eta=-1.02, phi=0.20, mass=0.00
          nu(e) [12] (status=1) pt=23.94, eta=-2.99, phi=0.89, mass=0.00
      b [5] (status=23) pt=67.75, eta=-0.52, phi=-0.76, mass=0.00
        b [5] (status=71) pt=39.88, eta=-0.67, phi=-0.71, mass=0.00
        B(s)*~0 [-533] (status=2) pt=41.62, eta=-0.64, phi=-0.72, mass=5.42
          B(s)~0 [-531] (status=2) pt=41.12, eta=-0.64, phi=-0.72, mass=5.36
            D(s)+ [431] (status=2) pt=14.28, eta=-0.65, phi=-0.72, mass=1.97
  t~ [-6] (status=22) pt=305.00, eta=0.41, phi=2.43, mass=173.50
    t~ [-6] (status=62) pt=271.00, eta=0.52, phi=2.38, mass=173.28
      W- [-24] (status=22) pt=146.50, eta=0.91, phi=2.26, mass=81.25
        W- [-24] (status=51) pt=132.50, eta=0.92, phi=2.30, mass=81.25
          W- [-24] (status=52) pt=132.00, eta=0.92, phi=2.30, mass=81.25
            e- [11] (status=23) pt=10.78, eta=0.13, phi=-0.31, mass=0.00
              e- [11] (status=1) pt=10.62, eta=0.13, phi=-0.31, mass=0.00
              gamma [22] (status=1) pt=0.14, eta=0.13, phi=-0.31, mass=0.00
            nu(e)~ [-12] (status=23) pt=141.50, eta=0.86, phi=2.34, mass=0.00
              nu(e)~ [-12] (status=1) pt=141.50, eta=0.86, phi=2.34, mass=0.00
        gamma [22] (status=1) pt=20.69, eta=0.55, phi=2.13, mass=0.00
      b~ [-5] (status=23) pt=126.50, eta=-0.05, phi=2.52, mass=0.00
        g [21] (status=71) pt=25.88, eta=-0.01, phi=2.61, mass=0.00
        b~ [-5] (status=71) pt=83.00, eta=-0.05, phi=2.48, mass=0.00
        Lambda(b)~0 [-5122] (status=2) pt=85.25, eta=-0.04, phi=2.49, mass=5.62
          nu(mu) [14] (status=1) pt=5.47, eta=0.04, phi=2.39, mass=0.00
          mu+ [-13] (status=1) pt=53.12, eta=-0.07, phi=2.51, mass=0.00
          Lambda(c)~- [-4122] (status=2) pt=26.69, eta=-0.01, phi=2.48, mass=2.29
  g [21] (status=23) pt=221.00, eta=-2.81, phi=-0.97, mass=0.00
    g [21] (status=44) pt=208.50, eta=-2.78, phi=-0.98, mass=0.00
      d~ [-1] (status=71) pt=40.50, eta=-2.81, phi=-0.99, mass=0.00
      d [1] (status=71) pt=145.00, eta=-2.77, phi=-0.99, mass=0.00
      omega(782) [223] (status=2) pt=120.00, eta=-2.77, phi=-0.99, mass=0.78
        pi0 [111] (status=2) pt=18.44, eta=-2.77, phi=-1.00, mass=0.00
          gamma [22] (status=1) pt=12.94, eta=-2.77, phi=-1.00, mass=0.00
        gamma [22] (status=1) pt=101.50, eta=-2.77, phi=-0.98, mass=0.00
    g [21] (status=71) pt=2.86, eta=-1.78, phi=0.19, mass=0.00
    g [21] (status=71) pt=0.87, eta=-3.02, phi=-0.38, mass=0.00
    g [21] (status=71) pt=1.20, eta=-1.61, phi=0.26, mass=0.00
    g [21] (status=71) pt=2.20, eta=-3.71, phi=-0.61, mass=0.00
    g [21] (status=71) pt=0.38, eta=-4.00, phi=0.63, mass=0.00
    g [21] (status=71) pt=4.09, eta=-3.00, phi=-1.03, mass=0.00
    g [21] (status=71) pt=2.33, eta=-2.57, phi=-1.22, mass=0.00
    g [21] (status=71) pt=8.81, eta=-2.64, phi=-0.99, mass=0.00
    g [21] (status=71) pt=4.72, eta=-2.77, phi=-1.10, mass=0.00
    g [21] (status=71) pt=12.28, eta=-2.78, phi=-0.92, mass=0.00

Event 1
g [21] (status=21) pt=0.00, eta=23040.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=108.00, eta=-1.82, phi=-0.16, mass=173.00
    t [6] (status=62) pt=111.00, eta=-1.82, phi=-0.16, mass=172.82
      W+ [24] (status=22) pt=66.75, eta=-2.20, phi=0.44, mass=80.00
        W+ [24] (status=52) pt=66.25, eta=-2.20, phi=0.44, mass=80.00
          e+ [-11] (status=1) pt=46.12, eta=-1.02, phi=0.20, mass=0.00
          nu(e) [12] (status=1) pt=23.94, eta=-2.99, phi=0.89, mass=0.00
      b [5] (status=23) pt=67.75, eta=-0.52, phi=-0.76, mass=0.00
        b [5] (status=71) pt=39.88, eta=-0.67, phi=-0.71, mass=0.00
        B(s)*~0 [-533] (status=2) pt=41.62, eta=-0.64, phi=-0.72, mass=5.42
          B(s)~0 [-531] (status=2) pt=41.12, eta=-0.64, phi=-0.72, mass=5.36
            D(s)+ [431] (status=2) pt=14.28, eta=-0.65, phi=-0.72, mass=1.97
  t~ [-6] (status=22) pt=305.00, eta=0.41, phi=2.43, mass=173.50
    t~ [-6] (status=62) pt=271.00, eta=0.52, phi=2.38, mass=173.28
      W- [-24] (status=22) pt=146.50, eta=0.91, phi=2.26, mass=81.25
        W- [-24] (status=51) pt=132.50, eta=0.92, phi=2.30, mass=81.25
          W- [-24] (status=52) pt=132.00, eta=0.92, phi=2.30, mass=81.25
            e- [11] (status=23) pt=10.78, eta=0.13, phi=-0.31, mass=0.00
              e- [11] (status=1) pt=10.62, eta=0.13, phi=-0.31, mass=0.00
              gamma [22] (status=1) pt=0.14, eta=0.13, phi=-0.31, mass=0.00
            nu(e)~ [-12] (status=23) pt=141.50, eta=0.86, phi=2.34, mass=0.00
              nu(e)~ [-12] (status=1) pt=141.50, eta=0.86, phi=2.34, mass=0.00
        gamma [22] (status=1) pt=20.69, eta=0.55, phi=2.13, mass=0.00
      b~ [-5] (status=23) pt=126.50, eta=-0.05, phi=2.52, mass=0.00
        g [21] (status=71) pt=25.88, eta=-0.01, phi=2.61, mass=0.00
        b~ [-5] (status=71) pt=83.00, eta=-0.05, phi=2.48, mass=0.00
        Lambda(b)~0 [-5122] (status=2) pt=85.25, eta=-0.04, phi=2.49, mass=5.62
          nu(mu) [14] (status=1) pt=5.47, eta=0.04, phi=2.39, mass=0.00
          mu+ [-13] (status=1) pt=53.12, eta=-0.07, phi=2.51, mass=0.00
          Lambda(c)~- [-4122] (status=2) pt=26.69, eta=-0.01, phi=2.48, mass=2.29
  g [21] (status=23) pt=221.00, eta=-2.81, phi=-0.97, mass=0.00
    g [21] (status=44) pt=208.50, eta=-2.78, phi=-0.98, mass=0.00
      d~ [-1] (status=71) pt=40.50, eta=-2.81, phi=-0.99, mass=0.00
      d [1] (status=71) pt=145.00, eta=-2.77, phi=-0.99, mass=0.00
      omega(782) [223] (status=2) pt=120.00, eta=-2.77, phi=-0.99, mass=0.78
        pi0 [111] (status=2) pt=18.44, eta=-2.77, phi=-1.00, mass=0.00
          gamma [22] (status=1) pt=12.94, eta=-2.77, phi=-1.00, mass=0.00
