
Event 0
                      e+ [-11] (status=1) pt=0.48, eta=-1.79, phi=1.83, mass=0.00
                      nu(e) [12] (status=1) pt=1.23, eta=-3.03, phi=1.26, mass=0.00
                b~ [-5] (status=23) pt=6.84, eta=-2.95, phi=1.71, mass=0.00
                  b~ [-5] (status=71) pt=5.45, eta=-2.97, phi=1.73, mass=0.00

Event 39
g [21] (status=21) pt=0.00, eta=23040.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=23040.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=30.19, eta=2.84, phi=-0.48, mass=125.00
      H0 [25] (status=44) pt=39.25, eta=2.59, phi=-0.65, mass=125.00
        H0 [25] (status=44) pt=39.62, eta=2.58, phi=-0.65, mass=125.00
          H0 [25] (status=44) pt=39.62, eta=2.59, phi=-0.54, mass=125.00
            H0 [25] (status=44) pt=39.50, eta=2.59, phi=-0.54, mass=125.00
              H0 [25] (status=62) pt=40.88, eta=2.55, phi=-0.55, mass=125.00
                35 [35] (status=22) pt=18.81, eta=2.30, phi=-0.24, mass=60.00
                  gamma [22] (status=1) pt=20.69, eta=0.77, phi=3.00, mass=0.00
                  gamma [22] (status=1) pt=39.50, eta=1.40, phi=-0.19, mass=0.00
                35 [35] (status=22) pt=23.75, eta=2.66, phi=-0.80, mass=60.00
                  b [5] (status=23) pt=9.44, eta=3.52, phi=-0.06, mass=0.00
                    b [5] (status=71) pt=8.44, eta=3.52, phi=-0.07, mass=0.00
                  b~ [-5] (status=23) pt=17.88, eta=0.48, phi=-1.16, mass=0.00
                    b~ [-5] (status=51) pt=15.34, eta=0.92, phi=-0.99, mass=0.00
                      b~ [-5] (status=71) pt=10.44, eta=0.99, phi=-0.85, mass=0.00
                    B*- [-523] (status=2) pt=7.97, eta=3.50, phi=-0.09, mass=5.33
                      B- [-521] (status=2) pt=7.88, eta=3.50, phi=-0.08, mass=5.28
                        D*(2007)0 [423] (status=2) pt=5.23, eta=3.45, phi=-0.09, mass=2.01
                          D0 [421] (status=2) pt=4.75, eta=3.46, phi=-0.08, mass=0.00
                            e+ [-11] (status=1) pt=1.96, eta=3.59, phi=-0.03, mass=0.00
                            nu(e) [12] (status=1) pt=0.11, eta=3.98, phi=2.70, mass=0.00
                        D*(2007)~0 [-423] (status=2) pt=2.16, eta=3.66, phi=-0.21, mass=2.01
                          D~0 [-421] (status=2) pt=1.97, eta=3.66, phi=-0.19, mass=0.00
                    B+ [521] (status=2) pt=12.34, eta=0.96, phi=-0.96, mass=5.28
                    e- [11] (status=1) pt=0.07, eta=1.02, phi=-1.37, mass=0.00
                    e+ [-11] (status=1) pt=0.04, eta=1.12, phi=-1.35, mass=0.00

Event 39
g [21] (status=21) pt=0.00, eta=23040.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=23040.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=30.19, eta=2.84, phi=-0.48, mass=125.00
      H0 [25] (status=44) pt=39.25, eta=2.59, phi=-0.65, mass=125.00
        H0 [25] (status=44) pt=39.62, eta=2.58, phi=-0.65, mass=125.00
          H0 [25] (status=44) pt=39.62, eta=2.59, phi=-0.54, mass=125.00
            H0 [25] (status=44) pt=39.50, eta=2.59, phi=-0.54, mass=125.00
              H0 [25] (status=62) pt=40.88, eta=2.55, phi=-0.55, mass=125.00
                35 [35] (status=22) pt=18.81, eta=2.30, phi=-0.24, mass=60.00
                  gamma [22] (status=1) pt=20.69, eta=0.77, phi=3.00, mass=0.00
                  gamma [22] (status=1) pt=39.50, eta=1.40, phi=-0.19, mass=0.00
                35 [35] (status=22) pt=23.75, eta=2.66, phi=-0.80, mass=60.00
                  b [5] (status=23) pt=9.44, eta=3.52, phi=-0.06, mass=0.00
                    b [5] (status=71) pt=8.44, eta=3.52, phi=-0.07, mass=0.00
                  b~ [-5] (status=23) pt=17.88, eta=0.48, phi=-1.16, mass=0.00
                    b~ [-5] (status=51) pt=15.34, eta=0.92, phi=-0.99, mass=0.00
                      b~ [-5] (status=71) pt=10.44, eta=0.99, phi=-0.85, mass=0.00
                    B*- [-523] (status=2) pt=7.97, eta=3.50, phi=-0.09, mass=5.33
                      B- [-521] (status=2) pt=7.88, eta=3.50, phi=-0.08, mass=5.28
                        D*(2007)0 [423] (status=2) pt=5.23, eta=3.45, phi=-0.09, mass=2.01
                          D0 [421] (status=2) pt=4.75, eta=3.46, phi=-0.08, mass=0.00
                            e+ [-11] (status=1) pt=1.96, eta=3.59, phi=-0.03, mass=0.00
                            nu(e) [12] (status=1) pt=0.11, eta=3.98, phi=2.70, mass=0.00
                        D*(2007)~0 [-423] (status=2) pt=2.16, eta=3.66, phi=-0.21, mass=2.01
                          D~0 [-421] (status=2) pt=1.97, eta=3.66, phi=-0.19, mass=0.00
                    B+ [521] (status=2) pt=12.34, eta=0.96, phi=-0.96, mass=5.28
                    e- [11] (status=1) pt=0.07, eta=1.02, phi=-1.37, mass=0.00
                    e+ [-11] (status=1) pt=0.04, eta=1.12, phi=-1.35, mass=0.00

Event 40
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-22976.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=13.12, eta=-3.43, phi=2.37, mass=125.00
      H0 [25] (status=44) pt=15.38, eta=-3.28, phi=2.11, mass=125.00
        H0 [25] (status=44) pt=19.12, eta=-3.06, phi=2.05, mass=125.00
          H0 [25] (status=44) pt=19.25, eta=-3.05, phi=2.05, mass=125.00
            H0 [25] (status=62) pt=19.38, eta=-3.05, phi=2.03, mass=125.00
              35 [35] (status=22) pt=11.00, eta=-3.02, phi=-2.46, mass=60.00
                gamma [22] (status=1) pt=29.19, eta=-0.95, phi=-1.35, mass=0.00
                gamma [22] (status=1) pt=26.25, eta=-1.84, phi=2.18, mass=0.00
              35 [35] (status=22) pt=24.25, eta=-2.04, phi=1.57, mass=60.00
                b [5] (status=23) pt=43.00, eta=-1.28, phi=1.77, mass=0.00
                  b [5] (status=71) pt=26.81, eta=-1.11, phi=1.76, mass=0.00
                  g [21] (status=71) pt=6.50, eta=-1.32, phi=2.07, mass=0.00
                  s~ [-3] (status=71) pt=3.42, eta=-1.89, phi=1.65, mass=0.00
                  B- [-521] (status=2) pt=25.69, eta=-1.10, phi=1.77, mass=5.28
                    D*(2007)0 [423] (status=2) pt=11.72, eta=-1.13, phi=1.62, mass=2.01
                      D0 [421] (status=2) pt=10.19, eta=-1.13, phi=1.62, mass=0.00
                  B*+ [523] (status=2) pt=15.69, eta=-0.92, phi=-1.12, mass=5.33
                    B+ [521] (status=2) pt=15.62, eta=-0.92, phi=-1.12, mass=5.28
                      D*(2007)~0 [-423] (status=2) pt=6.95, eta=-0.91, phi=-1.07, mass=2.01
                        D~0 [-421] (status=2) pt=6.61, eta=-0.91, phi=-1.07, mass=0.00
                  e- [11] (status=1) pt=0.02, eta=-2.01, phi=1.65, mass=0.00
                  e+ [-11] (status=1) pt=0.02, eta=-2.70, phi=0.62, mass=0.00
                b~ [-5] (status=23) pt=19.81, eta=-0.90, phi=-1.12, mass=0.00
                  b~ [-5] (status=52) pt=18.06, eta=-0.91, phi=-1.12, mass=0.00

Event 40
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-22976.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=13.12, eta=-3.43, phi=2.37, mass=125.00
      H0 [25] (status=44) pt=15.38, eta=-3.28, phi=2.11, mass=125.00
        H0 [25] (status=44) pt=19.12, eta=-3.06, phi=2.05, mass=125.00
          H0 [25] (status=44) pt=19.25, eta=-3.05, phi=2.05, mass=125.00
            H0 [25] (status=62) pt=19.38, eta=-3.05, phi=2.03, mass=125.00
              35 [35] (status=22) pt=11.00, eta=-3.02, phi=-2.46, mass=60.00
                gamma [22] (status=1) pt=29.19, eta=-0.95, phi=-1.35, mass=0.00
                gamma [22] (status=1) pt=26.25, eta=-1.84, phi=2.18, mass=0.00
              35 [35] (status=22) pt=24.25, eta=-2.04, phi=1.57, mass=60.00
                b [5] (status=23) pt=43.00, eta=-1.28, phi=1.77, mass=0.00
                  b [5] (status=71) pt=26.81, eta=-1.11, phi=1.76, mass=0.00
                  g [21] (status=71) pt=6.50, eta=-1.32, phi=2.07, mass=0.00
                  s~ [-3] (status=71) pt=3.42, eta=-1.89, phi=1.65, mass=0.00
                  B- [-521] (status=2) pt=25.69, eta=-1.10, phi=1.77, mass=5.28
                    D*(2007)0 [423] (status=2) pt=11.72, eta=-1.13, phi=1.62, mass=2.01
                      D0 [421] (status=2) pt=10.19, eta=-1.13, phi=1.62, mass=0.00
                  B*+ [523] (status=2) pt=15.69, eta=-0.92, phi=-1.12, mass=5.33
                    B+ [521] (status=2) pt=15.62, eta=-0.92, phi=-1.12, mass=5.28
                      D*(2007)~0 [-423] (status=2) pt=6.95, eta=-0.91, phi=-1.07, mass=2.01
                        D~0 [-421] (status=2) pt=6.61, eta=-0.91, phi=-1.07, mass=0.00
                  e- [11] (status=1) pt=0.02, eta=-2.01, phi=1.65, mass=0.00
                  e+ [-11] (status=1) pt=0.02, eta=-2.70, phi=0.62, mass=0.00
                b~ [-5] (status=23) pt=19.81, eta=-0.90, phi=-1.12, mass=0.00
                  b~ [-5] (status=52) pt=18.06, eta=-0.91, phi=-1.12, mass=0.00

Event 41
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-39.25, phi=3.14, mass=125.00
    H0 [25] (status=44) pt=16.06, eta=-1.22, phi=-2.33, mass=125.00
      H0 [25] (status=44) pt=26.75, eta=-0.79, phi=-2.30, mass=125.00
        H0 [25] (status=44) pt=26.75, eta=-0.79, phi=-2.30, mass=125.00
          H0 [25] (status=62) pt=26.94, eta=-0.79, phi=-2.29, mass=125.00
            35 [35] (status=22) pt=20.69, eta=0.17, phi=-1.99, mass=60.00
              gamma [22] (status=1) pt=10.59, eta=1.82, phi=-2.23, mass=0.00
              gamma [22] (status=1) pt=10.69, eta=-1.70, phi=-1.75, mass=0.00
            35 [35] (status=22) pt=9.47, eta=-1.77, phi=-3.00, mass=60.00
              b [5] (status=23) pt=28.62, eta=-0.56, phi=-1.34, mass=0.00
                b [5] (status=71) pt=28.00, eta=-0.56, phi=-1.34, mass=0.00
              b~ [-5] (status=23) pt=30.94, eta=-0.32, phi=2.12, mass=0.00
                b~ [-5] (status=52) pt=26.06, eta=-0.26, phi=2.09, mass=0.00
                B(s)*0 [533] (status=2) pt=28.75, eta=-0.29, phi=2.12, mass=5.42
                  B(s)0 [531] (status=2) pt=28.56, eta=-0.29, phi=2.12, mass=5.36
                    nu(e) [12] (status=1) pt=14.22, eta=-0.27, phi=1.96, mass=0.00
                    e+ [-11] (status=1) pt=2.33, eta=-0.31, phi=2.59, mass=0.00
                B*- [-523] (status=2) pt=26.81, eta=-0.56, phi=-1.34, mass=5.33
                  B- [-521] (status=2) pt=26.44, eta=-0.56, phi=-1.34, mass=5.28
                    D(2)*(2460)0 [425] (status=2) pt=17.12, eta=-0.45, phi=-1.34, mass=2.55
                      D+ [411] (status=2) pt=12.25, eta=-0.41, phi=-1.36, mass=0.00

Event 41
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-39.25, phi=3.14, mass=125.00
    H0 [25] (status=44) pt=16.06, eta=-1.22, phi=-2.33, mass=125.00
      H0 [25] (status=44) pt=26.75, eta=-0.79, phi=-2.30, mass=125.00
        H0 [25] (status=44) pt=26.75, eta=-0.79, phi=-2.30, mass=125.00
          H0 [25] (status=62) pt=26.94, eta=-0.79, phi=-2.29, mass=125.00
            35 [35] (status=22) pt=20.69, eta=0.17, phi=-1.99, mass=60.00
              gamma [22] (status=1) pt=10.59, eta=1.82, phi=-2.23, mass=0.00
              gamma [22] (status=1) pt=10.69, eta=-1.70, phi=-1.75, mass=0.00
            35 [35] (status=22) pt=9.47, eta=-1.77, phi=-3.00, mass=60.00
              b [5] (status=23) pt=28.62, eta=-0.56, phi=-1.34, mass=0.00
                b [5] (status=71) pt=28.00, eta=-0.56, phi=-1.34, mass=0.00
              b~ [-5] (status=23) pt=30.94, eta=-0.32, phi=2.12, mass=0.00
                b~ [-5] (status=52) pt=26.06, eta=-0.26, phi=2.09, mass=0.00
                B(s)*0 [533] (status=2) pt=28.75, eta=-0.29, phi=2.12, mass=5.42
                  B(s)0 [531] (status=2) pt=28.56, eta=-0.29, phi=2.12, mass=5.36
                    nu(e) [12] (status=1) pt=14.22, eta=-0.27, phi=1.96, mass=0.00
                    e+ [-11] (status=1) pt=2.33, eta=-0.31, phi=2.59, mass=0.00
                B*- [-523] (status=2) pt=26.81, eta=-0.56, phi=-1.34, mass=5.33
                  B- [-521] (status=2) pt=26.44, eta=-0.56, phi=-1.34, mass=5.28
                    D(2)*(2460)0 [425] (status=2) pt=17.12, eta=-0.45, phi=-1.34, mass=2.55
                      D+ [411] (status=2) pt=12.25, eta=-0.41, phi=-1.36, mass=0.00

Event 42
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-38.25, phi=-1.57, mass=125.00
    H0 [25] (status=44) pt=26.38, eta=-1.45, phi=-1.45, mass=125.00
      H0 [25] (status=44) pt=17.88, eta=-1.67, phi=-1.52, mass=125.00
        H0 [25] (status=44) pt=16.94, eta=-1.78, phi=-0.95, mass=125.00
          H0 [25] (status=44) pt=17.12, eta=-1.75, phi=-1.19, mass=125.00
            H0 [25] (status=44) pt=17.06, eta=-1.76, phi=-1.36, mass=125.00
              H0 [25] (status=44) pt=16.44, eta=-1.79, phi=-1.37, mass=125.00
                H0 [25] (status=44) pt=16.19, eta=-1.80, phi=-1.36, mass=125.00
                  H0 [25] (status=62) pt=16.31, eta=-1.79, phi=-1.36, mass=125.00
                    35 [35] (status=22) pt=16.06, eta=-1.07, phi=0.12, mass=60.00
                      gamma [22] (status=1) pt=21.75, eta=0.08, phi=-2.75, mass=0.00
                      gamma [22] (status=1) pt=37.50, eta=-0.57, phi=0.28, mass=0.00
                    35 [35] (status=22) pt=21.81, eta=-1.04, phi=-2.18, mass=60.00
                      b [5] (status=23) pt=35.12, eta=-0.67, phi=-2.98, mass=0.00
                        b [5] (status=71) pt=24.19, eta=-0.79, phi=-2.95, mass=0.00
                        B*~0 [-513] (status=2) pt=22.81, eta=-0.79, phi=-2.95, mass=5.33
                          B~0 [-511] (status=2) pt=22.81, eta=-0.79, phi=-2.95, mass=5.28
                            D*(2010)+ [413] (status=2) pt=11.88, eta=-0.74, phi=-2.91, mass=2.01
                              D+ [411] (status=2) pt=10.88, eta=-0.74, phi=-2.91, mass=0.00
                                mu+ [-13] (status=1) pt=5.19, eta=-0.62, phi=-2.82, mass=0.00
                                nu(mu) [14] (status=1) pt=0.52, eta=-1.15, phi=-2.62, mass=0.00
                        B*0 [513] (status=2) pt=22.31, eta=-0.08, phi=-0.50, mass=5.33
                          B0 [511] (status=2) pt=22.19, eta=-0.09, phi=-0.50, mass=5.28
                            D- [-411] (status=2) pt=9.88, eta=0.03, phi=-0.56, mass=0.00
                              mu- [13] (status=1) pt=0.68, eta=-0.07, phi=-0.48, mass=0.00
                              nu(mu)~ [-14] (status=1) pt=2.56, eta=0.10, phi=-0.85, mass=0.00
                      b~ [-5] (status=23) pt=25.38, eta=-0.08, phi=-0.51, mass=0.00
                        b~ [-5] (status=71) pt=23.94, eta=-0.08, phi=-0.51, mass=0.00

Event 42
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-38.25, phi=-1.57, mass=125.00
    H0 [25] (status=44) pt=26.38, eta=-1.45, phi=-1.45, mass=125.00
      H0 [25] (status=44) pt=17.88, eta=-1.67, phi=-1.52, mass=125.00
        H0 [25] (status=44) pt=16.94, eta=-1.78, phi=-0.95, mass=125.00
          H0 [25] (status=44) pt=17.12, eta=-1.75, phi=-1.19, mass=125.00
            H0 [25] (status=44) pt=17.06, eta=-1.76, phi=-1.36, mass=125.00
              H0 [25] (status=44) pt=16.44, eta=-1.79, phi=-1.37, mass=125.00
                H0 [25] (status=44) pt=16.19, eta=-1.80, phi=-1.36, mass=125.00
                  H0 [25] (status=62) pt=16.31, eta=-1.79, phi=-1.36, mass=125.00
                    35 [35] (status=22) pt=16.06, eta=-1.07, phi=0.12, mass=60.00
                      gamma [22] (status=1) pt=21.75, eta=0.08, phi=-2.75, mass=0.00
                      gamma [22] (status=1) pt=37.50, eta=-0.57, phi=0.28, mass=0.00
                    35 [35] (status=22) pt=21.81, eta=-1.04, phi=-2.18, mass=60.00
                      b [5] (status=23) pt=35.12, eta=-0.67, phi=-2.98, mass=0.00
                        b [5] (status=71) pt=24.19, eta=-0.79, phi=-2.95, mass=0.00
                        B*~0 [-513] (status=2) pt=22.81, eta=-0.79, phi=-2.95, mass=5.33
                          B~0 [-511] (status=2) pt=22.81, eta=-0.79, phi=-2.95, mass=5.28
                            D*(2010)+ [413] (status=2) pt=11.88, eta=-0.74, phi=-2.91, mass=2.01
                              D+ [411] (status=2) pt=10.88, eta=-0.74, phi=-2.91, mass=0.00
                                mu+ [-13] (status=1) pt=5.19, eta=-0.62, phi=-2.82, mass=0.00
                                nu(mu) [14] (status=1) pt=0.52, eta=-1.15, phi=-2.62, mass=0.00
                        B*0 [513] (status=2) pt=22.31, eta=-0.08, phi=-0.50, mass=5.33
                          B0 [511] (status=2) pt=22.19, eta=-0.09, phi=-0.50, mass=5.28
                            D- [-411] (status=2) pt=9.88, eta=0.03, phi=-0.56, mass=0.00
                              mu- [13] (status=1) pt=0.68, eta=-0.07, phi=-0.48, mass=0.00
                              nu(mu)~ [-14] (status=1) pt=2.56, eta=0.10, phi=-0.85, mass=0.00
                      b~ [-5] (status=23) pt=25.38, eta=-0.08, phi=-0.51, mass=0.00
                        b~ [-5] (status=71) pt=23.94, eta=-0.08, phi=-0.51, mass=0.00

Event 43
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-40.12, phi=-1.57, mass=125.00
    H0 [25] (status=44) pt=17.44, eta=-3.70, phi=0.91, mass=125.00
      H0 [25] (status=44) pt=17.50, eta=-3.70, phi=0.27, mass=125.00
        H0 [25] (status=44) pt=18.69, eta=-3.63, phi=0.24, mass=125.00
          H0 [25] (status=62) pt=18.88, eta=-3.62, phi=0.24, mass=125.00
            35 [35] (status=22) pt=5.47, eta=-4.33, phi=2.24, mass=60.00
              gamma [22] (status=1) pt=26.19, eta=-2.35, phi=-1.77, mass=0.00
              gamma [22] (status=1) pt=30.00, eta=-1.60, phi=1.52, mass=0.00
            35 [35] (status=22) pt=21.69, eta=-2.60, phi=0.01, mass=60.00
              b [5] (status=23) pt=15.59, eta=-2.48, phi=-2.98, mass=0.00
                b [5] (status=71) pt=14.12, eta=-2.48, phi=-2.98, mass=0.00
              b~ [-5] (status=23) pt=37.25, eta=-1.14, phi=0.07, mass=0.00
                b~ [-5] (status=71) pt=28.25, eta=-1.11, phi=0.08, mass=0.00
                B*~0 [-513] (status=2) pt=13.31, eta=-2.51, phi=-2.98, mass=5.33
                  B~0 [-511] (status=2) pt=13.31, eta=-2.51, phi=-2.98, mass=5.28
                    D*(2010)- [-413] (status=2) pt=7.89, eta=-2.52, phi=-3.12, mass=2.01
                      D~0 [-421] (status=2) pt=7.41, eta=-2.52, phi=-3.13, mass=0.00
                    D(s)*+ [433] (status=2) pt=5.36, eta=-2.39, phi=-2.77, mass=2.11
                      D(s)+ [431] (status=2) pt=4.69, eta=-2.41, phi=-2.78, mass=1.97
                        e+ [-11] (status=1) pt=0.78, eta=-2.02, phi=-3.12, mass=0.00
                        nu(e) [12] (status=1) pt=0.78, eta=-1.98, phi=-2.36, mass=0.00
                B*0 [513] (status=2) pt=31.06, eta=-1.13, phi=0.08, mass=5.33
                  B0 [511] (status=2) pt=30.56, eta=-1.13, phi=0.08, mass=5.28
                    D- [-411] (status=2) pt=18.69, eta=-1.17, phi=0.11, mass=0.00

Event 43
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-40.12, phi=-1.57, mass=125.00
    H0 [25] (status=44) pt=17.44, eta=-3.70, phi=0.91, mass=125.00
      H0 [25] (status=44) pt=17.50, eta=-3.70, phi=0.27, mass=125.00
        H0 [25] (status=44) pt=18.69, eta=-3.63, phi=0.24, mass=125.00
          H0 [25] (status=62) pt=18.88, eta=-3.62, phi=0.24, mass=125.00
            35 [35] (status=22) pt=5.47, eta=-4.33, phi=2.24, mass=60.00
              gamma [22] (status=1) pt=26.19, eta=-2.35, phi=-1.77, mass=0.00
              gamma [22] (status=1) pt=30.00, eta=-1.60, phi=1.52, mass=0.00
            35 [35] (status=22) pt=21.69, eta=-2.60, phi=0.01, mass=60.00
              b [5] (status=23) pt=15.59, eta=-2.48, phi=-2.98, mass=0.00
                b [5] (status=71) pt=14.12, eta=-2.48, phi=-2.98, mass=0.00
              b~ [-5] (status=23) pt=37.25, eta=-1.14, phi=0.07, mass=0.00
                b~ [-5] (status=71) pt=28.25, eta=-1.11, phi=0.08, mass=0.00
                B*~0 [-513] (status=2) pt=13.31, eta=-2.51, phi=-2.98, mass=5.33
                  B~0 [-511] (status=2) pt=13.31, eta=-2.51, phi=-2.98, mass=5.28
                    D*(2010)- [-413] (status=2) pt=7.89, eta=-2.52, phi=-3.12, mass=2.01
                      D~0 [-421] (status=2) pt=7.41, eta=-2.52, phi=-3.13, mass=0.00
                    D(s)*+ [433] (status=2) pt=5.36, eta=-2.39, phi=-2.77, mass=2.11
                      D(s)+ [431] (status=2) pt=4.69, eta=-2.41, phi=-2.78, mass=1.97
                        e+ [-11] (status=1) pt=0.78, eta=-2.02, phi=-3.12, mass=0.00
                        nu(e) [12] (status=1) pt=0.78, eta=-1.98, phi=-2.36, mass=0.00
                B*0 [513] (status=2) pt=31.06, eta=-1.13, phi=0.08, mass=5.33
                  B0 [511] (status=2) pt=30.56, eta=-1.13, phi=0.08, mass=5.28
                    D- [-411] (status=2) pt=18.69, eta=-1.17, phi=0.11, mass=0.00

Event 44
g [21] (status=21) pt=0.00, eta=22912.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=67.75, eta=1.14, phi=2.02, mass=125.00
    H0 [25] (status=44) pt=69.75, eta=1.12, phi=2.09, mass=125.00
      H0 [25] (status=44) pt=63.62, eta=1.22, phi=2.05, mass=125.00
        H0 [25] (status=44) pt=63.00, eta=1.23, phi=2.05, mass=125.00
          H0 [25] (status=44) pt=63.50, eta=1.22, phi=2.07, mass=125.00
            H0 [25] (status=44) pt=63.62, eta=1.21, phi=2.07, mass=125.00
              H0 [25] (status=62) pt=63.50, eta=1.22, phi=2.07, mass=125.00
                35 [35] (status=22) pt=31.12, eta=0.80, phi=2.11, mass=60.00
                  gamma [22] (status=1) pt=14.16, eta=-0.57, phi=-0.42, mass=0.00
                  gamma [22] (status=1) pt=43.50, eta=0.75, phi=2.30, mass=0.00
                35 [35] (status=22) pt=32.38, eta=1.52, phi=2.03, mass=60.00
                  b [5] (status=23) pt=42.12, eta=0.68, phi=1.48, mass=0.00
                    b [5] (status=71) pt=40.50, eta=0.66, phi=1.48, mass=0.00
                    B(s)*~0 [-533] (status=2) pt=40.38, eta=0.67, phi=1.48, mass=5.42
                      B(s)~0 [-531] (status=2) pt=40.38, eta=0.67, phi=1.48, mass=5.36
                        D(s)*+ [433] (status=2) pt=22.75, eta=0.62, phi=1.47, mass=2.11
                          D(s)+ [431] (status=2) pt=20.69, eta=0.63, phi=1.48, mass=1.97
                        D- [-411] (status=2) pt=13.81, eta=0.72, phi=1.46, mass=0.00
                    Xi(b)~+ [-5132] (status=2) pt=17.06, eta=1.39, phi=-2.53, mass=5.80
                      D(s)+ [431] (status=2) pt=10.03, eta=1.39, phi=-2.38, mass=1.97
                      Xi(c)(2645)~0 [-4314] (status=2) pt=7.31, eta=1.36, phi=-2.75, mass=2.65
                        Xi(c)~0 [-4132] (status=2) pt=7.06, eta=1.36, phi=-2.74, mass=2.47
                  b~ [-5] (status=23) pt=22.25, eta=1.33, phi=-2.52, mass=0.00
                    b~ [-5] (status=71) pt=21.12, eta=1.34, phi=-2.52, mass=0.00
  g [21] (status=23) pt=67.75, eta=0.26, phi=-1.13, mass=0.00
    g [21] (status=71) pt=0.82, eta=0.35, phi=-1.35, mass=0.00
    g [21] (status=71) pt=15.06, eta=0.19, phi=-1.02, mass=0.00
    g [21] (status=71) pt=10.31, eta=0.26, phi=-1.19, mass=0.00
    g [21] (status=71) pt=27.94, eta=0.24, phi=-1.24, mass=0.00
    g [21] (status=71) pt=5.05, eta=0.31, phi=-1.19, mass=0.00
    g [21] (status=71) pt=5.84, eta=0.07, phi=-1.20, mass=0.00

Event 44
g [21] (status=21) pt=0.00, eta=22912.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=67.75, eta=1.14, phi=2.02, mass=125.00
    H0 [25] (status=44) pt=69.75, eta=1.12, phi=2.09, mass=125.00
      H0 [25] (status=44) pt=63.62, eta=1.22, phi=2.05, mass=125.00
        H0 [25] (status=44) pt=63.00, eta=1.23, phi=2.05, mass=125.00
          H0 [25] (status=44) pt=63.50, eta=1.22, phi=2.07, mass=125.00
            H0 [25] (status=44) pt=63.62, eta=1.21, phi=2.07, mass=125.00
              H0 [25] (status=62) pt=63.50, eta=1.22, phi=2.07, mass=125.00
                35 [35] (status=22) pt=31.12, eta=0.80, phi=2.11, mass=60.00
                  gamma [22] (status=1) pt=14.16, eta=-0.57, phi=-0.42, mass=0.00
                  gamma [22] (status=1) pt=43.50, eta=0.75, phi=2.30, mass=0.00
                35 [35] (status=22) pt=32.38, eta=1.52, phi=2.03, mass=60.00
                  b [5] (status=23) pt=42.12, eta=0.68, phi=1.48, mass=0.00
                    b [5] (status=71) pt=40.50, eta=0.66, phi=1.48, mass=0.00
                    B(s)*~0 [-533] (status=2) pt=40.38, eta=0.67, phi=1.48, mass=5.42
                      B(s)~0 [-531] (status=2) pt=40.38, eta=0.67, phi=1.48, mass=5.36
                        D(s)*+ [433] (status=2) pt=22.75, eta=0.62, phi=1.47, mass=2.11
                          D(s)+ [431] (status=2) pt=20.69, eta=0.63, phi=1.48, mass=1.97
                        D- [-411] (status=2) pt=13.81, eta=0.72, phi=1.46, mass=0.00
                    Xi(b)~+ [-5132] (status=2) pt=17.06, eta=1.39, phi=-2.53, mass=5.80
                      D(s)+ [431] (status=2) pt=10.03, eta=1.39, phi=-2.38, mass=1.97
                      Xi(c)(2645)~0 [-4314] (status=2) pt=7.31, eta=1.36, phi=-2.75, mass=2.65
                        Xi(c)~0 [-4132] (status=2) pt=7.06, eta=1.36, phi=-2.74, mass=2.47
                  b~ [-5] (status=23) pt=22.25, eta=1.33, phi=-2.52, mass=0.00
                    b~ [-5] (status=71) pt=21.12, eta=1.34, phi=-2.52, mass=0.00
  g [21] (status=23) pt=67.75, eta=0.26, phi=-1.13, mass=0.00
    g [21] (status=71) pt=0.82, eta=0.35, phi=-1.35, mass=0.00
    g [21] (status=71) pt=15.06, eta=0.19, phi=-1.02, mass=0.00
    g [21] (status=71) pt=10.31, eta=0.26, phi=-1.19, mass=0.00
    g [21] (status=71) pt=27.94, eta=0.24, phi=-1.24, mass=0.00
    g [21] (status=71) pt=5.05, eta=0.31, phi=-1.19, mass=0.00
    g [21] (status=71) pt=5.84, eta=0.07, phi=-1.20, mass=0.00

Event 45
g [21] (status=21) pt=0.00, eta=22912.00, phi=0.00, mass=0.00
