
Event 0
                    B*+ [523] (status=2) pt=12.69, eta=0.11, phi=1.56, mass=5.33
                      B+ [521] (status=2) pt=12.56, eta=0.11, phi=1.57, mass=5.28
                        D(s)*+ [433] (status=2) pt=7.03, eta=0.13, phi=1.59, mass=2.11
                          D(s)+ [431] (status=2) pt=7.00, eta=0.14, phi=1.60, mass=1.97
                        D- [-411] (status=2) pt=2.73, eta=-0.01, phi=1.37, mass=0.00
                          e- [11] (status=1) pt=0.87, eta=-0.06, phi=0.77, mass=0.00
                          nu(e)~ [-12] (status=1) pt=0.37, eta=1.06, phi=1.87, mass=0.00
                  b~ [-5] (status=23) pt=13.09, eta=0.09, phi=1.57, mass=0.00

Event 1
g [21] (status=21) pt=0.00, eta=22976.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=40.12, phi=1.57, mass=125.00
    H0 [25] (status=44) pt=17.12, eta=3.16, phi=-2.91, mass=125.00
      H0 [25] (status=44) pt=9.59, eta=3.85, phi=-2.98, mass=125.00
        H0 [25] (status=44) pt=13.09, eta=3.54, phi=2.52, mass=125.00
          H0 [25] (status=44) pt=21.38, eta=3.05, phi=2.76, mass=125.00
            H0 [25] (status=44) pt=21.81, eta=3.03, phi=2.77, mass=125.00
              H0 [25] (status=62) pt=24.00, eta=2.94, phi=2.77, mass=125.00
                35 [35] (status=22) pt=26.44, eta=2.02, phi=2.89, mass=60.00
                  gamma [22] (status=1) pt=42.12, eta=0.98, phi=2.48, mass=0.00
                  gamma [22] (status=1) pt=20.75, eta=1.60, phi=-1.20, mass=0.00
                35 [35] (status=22) pt=3.87, eta=4.20, phi=0.58, mass=60.00
                  b [5] (status=23) pt=11.47, eta=3.10, phi=-1.28, mass=0.00
                    B*- [-523] (status=2) pt=10.16, eta=3.07, phi=-1.27, mass=5.33
                      B- [-521] (status=2) pt=10.00, eta=3.08, phi=-1.27, mass=5.28
                        D0 [421] (status=2) pt=1.58, eta=3.10, phi=-0.70, mass=0.00
                    B*+ [523] (status=2) pt=12.69, eta=0.11, phi=1.56, mass=5.33
                      B+ [521] (status=2) pt=12.56, eta=0.11, phi=1.57, mass=5.28
                        D(s)*+ [433] (status=2) pt=7.03, eta=0.13, phi=1.59, mass=2.11
                          D(s)+ [431] (status=2) pt=7.00, eta=0.14, phi=1.60, mass=1.97
                        D- [-411] (status=2) pt=2.73, eta=-0.01, phi=1.37, mass=0.00
                          e- [11] (status=1) pt=0.87, eta=-0.06, phi=0.77, mass=0.00
                          nu(e)~ [-12] (status=1) pt=0.37, eta=1.06, phi=1.87, mass=0.00
                  b~ [-5] (status=23) pt=13.09, eta=0.09, phi=1.57, mass=0.00

Event 2
g [21] (status=21) pt=0.00, eta=22848.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=38.75, phi=-0.93, mass=125.00
    H0 [25] (status=44) pt=40.75, eta=1.59, phi=1.40, mass=125.00
      H0 [25] (status=44) pt=49.88, eta=1.44, phi=1.30, mass=125.00
        H0 [25] (status=44) pt=49.62, eta=1.44, phi=1.35, mass=125.00
          H0 [25] (status=44) pt=49.50, eta=1.45, phi=1.35, mass=125.00
            H0 [25] (status=62) pt=49.50, eta=1.45, phi=1.34, mass=125.00
              35 [35] (status=22) pt=12.53, eta=1.72, phi=0.79, mass=60.00
                gamma [22] (status=1) pt=22.25, eta=0.02, phi=-2.71, mass=0.00
                gamma [22] (status=1) pt=34.25, eta=0.86, phi=0.56, mass=0.00
              35 [35] (status=22) pt=39.38, eta=1.28, phi=1.51, mass=60.00
                b [5] (status=23) pt=32.62, eta=0.06, phi=1.39, mass=0.00
                  b [5] (status=71) pt=17.62, eta=-0.01, phi=1.36, mass=0.00
                  B*~0 [-513] (status=2) pt=18.38, eta=0.04, phi=1.39, mass=5.33
                    B~0 [-511] (status=2) pt=18.06, eta=0.04, phi=1.39, mass=5.28
                      D+ [411] (status=2) pt=12.53, eta=0.02, phi=1.26, mass=0.00
                        e+ [-11] (status=1) pt=3.31, eta=0.11, phi=1.34, mass=0.00
                        nu(e) [12] (status=1) pt=5.81, eta=0.01, phi=1.20, mass=0.00
                  B*+ [523] (status=2) pt=4.52, eta=1.48, phi=-1.43, mass=5.33
                    B+ [521] (status=2) pt=4.50, eta=1.47, phi=-1.42, mass=5.28
                      D(s)+ [431] (status=2) pt=1.28, eta=1.94, phi=-1.30, mass=1.97
                      D~0 [-421] (status=2) pt=2.70, eta=1.30, phi=-1.65, mass=0.00
                b~ [-5] (status=23) pt=7.88, eta=2.78, phi=1.99, mass=0.00
                  b~ [-5] (status=71) pt=5.23, eta=1.27, phi=-1.38, mass=0.00

Event 2
g [21] (status=21) pt=0.00, eta=22848.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=38.75, phi=-0.93, mass=125.00
    H0 [25] (status=44) pt=40.75, eta=1.59, phi=1.40, mass=125.00
      H0 [25] (status=44) pt=49.88, eta=1.44, phi=1.30, mass=125.00
        H0 [25] (status=44) pt=49.62, eta=1.44, phi=1.35, mass=125.00
          H0 [25] (status=44) pt=49.50, eta=1.45, phi=1.35, mass=125.00
            H0 [25] (status=62) pt=49.50, eta=1.45, phi=1.34, mass=125.00
              35 [35] (status=22) pt=12.53, eta=1.72, phi=0.79, mass=60.00
                gamma [22] (status=1) pt=22.25, eta=0.02, phi=-2.71, mass=0.00
                gamma [22] (status=1) pt=34.25, eta=0.86, phi=0.56, mass=0.00
              35 [35] (status=22) pt=39.38, eta=1.28, phi=1.51, mass=60.00
                b [5] (status=23) pt=32.62, eta=0.06, phi=1.39, mass=0.00
                  b [5] (status=71) pt=17.62, eta=-0.01, phi=1.36, mass=0.00
                  B*~0 [-513] (status=2) pt=18.38, eta=0.04, phi=1.39, mass=5.33
                    B~0 [-511] (status=2) pt=18.06, eta=0.04, phi=1.39, mass=5.28
                      D+ [411] (status=2) pt=12.53, eta=0.02, phi=1.26, mass=0.00
                        e+ [-11] (status=1) pt=3.31, eta=0.11, phi=1.34, mass=0.00
                        nu(e) [12] (status=1) pt=5.81, eta=0.01, phi=1.20, mass=0.00
                  B*+ [523] (status=2) pt=4.52, eta=1.48, phi=-1.43, mass=5.33
                    B+ [521] (status=2) pt=4.50, eta=1.47, phi=-1.42, mass=5.28
                      D(s)+ [431] (status=2) pt=1.28, eta=1.94, phi=-1.30, mass=1.97
                      D~0 [-421] (status=2) pt=2.70, eta=1.30, phi=-1.65, mass=0.00
                b~ [-5] (status=23) pt=7.88, eta=2.78, phi=1.99, mass=0.00
                  b~ [-5] (status=71) pt=5.23, eta=1.27, phi=-1.38, mass=0.00

Event 3
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=201.00, eta=-1.64, phi=1.34, mass=125.00
    H0 [25] (status=44) pt=193.50, eta=-1.69, phi=1.34, mass=125.00
      H0 [25] (status=44) pt=192.50, eta=-1.69, phi=1.36, mass=125.00
        H0 [25] (status=44) pt=193.00, eta=-1.69, phi=1.36, mass=125.00
          H0 [25] (status=62) pt=192.50, eta=-1.69, phi=1.36, mass=125.00
            35 [35] (status=22) pt=113.50, eta=-1.73, phi=1.28, mass=60.00
              gamma [22] (status=1) pt=66.25, eta=-1.37, phi=1.66, mass=0.00
              gamma [22] (status=1) pt=57.75, eta=-1.91, phi=0.83, mass=0.00
            35 [35] (status=22) pt=80.00, eta=-1.61, phi=1.46, mass=60.00
              b [5] (status=23) pt=75.25, eta=-1.36, phi=1.16, mass=0.00
                b [5] (status=71) pt=53.25, eta=-1.47, phi=1.25, mass=0.00
                B*~0 [-513] (status=2) pt=50.62, eta=-1.46, phi=1.24, mass=5.33
