# File used : root://xrootd-cms.infn.it//store/mc/RunIISummer20UL18NanoAODv9/WHToAA_AToBB_AToGG_M-20_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/106X_upgrade2018_realistic_v16_L1v1-v1/2530000/FB6A4557-3B3E-5E4A-900D-45A77C107EA2.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  34    411       2       12354                 30   2.0625   0.000  -1.4258  12.062

Event Number : 3
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23296.0000   0.000   0.0000   0.000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000   0.000
   2     24      22        4481                  0   3.7891  82.500  -2.6328  14.906
   3     25      22        4481                  0   3.2734 125.000   0.5098  14.906
   4     24      44         257                  2   3.7656  82.500  -2.6719  15.250
   5     25      44         257                  3   3.3438 125.000   0.6660  13.844
   6     24      44         257                  4   3.7422  82.500  -2.6406  15.531
   7     25      44         257                  5   3.3594 125.000   0.6465  13.625
   8     24      62       10497                  6   3.7188  82.500  -2.6641  15.969
   9     25      62       10497                  7   3.3438 125.000   0.6777  13.938
  10    -11      23       22913                  8   1.2422   0.000  -2.8828  34.250
  11     12      23        4481                  8   3.3594   0.000   0.0750  19.000
  12     12       1        8449                 11   3.3594   0.000   0.0750  19.000
  13    -11       1        8449                 10   1.2461   0.000  -2.8828  32.625
  14     22       1       12289                 10   1.2461   0.000  -2.8828   1.516
  15     22       1        8193                 10   0.7949   0.000   2.6875   0.143
  16     35      22       14721                  9   1.0703  20.000  -1.1406  55.875
  17     35      22       31105                  9   1.4648  20.000   1.7773  60.875
  18      5      23       12673                 16   0.7949   0.000  -0.7676  17.500
  19     -5      23       12673                 16   1.1445   0.000  -1.3008  40.125
  20     22       1       12673                 17   1.3672   0.000   1.6289  51.000
  21     22       1       12673                 17   1.6172   0.000   2.3984  12.688
  22   -521       2       12291                 18   0.8203   5.281  -0.7969  17.938
  23    513       2       28675                 18   1.1406   5.328  -1.3008  39.250
  24      2      71        8193                 -1  -4.3594   0.000  -0.0657   1.414
  25     -1      71        8193                 -1  -5.8594   0.000  -0.5840   0.121
  26    421       2       12354                 22   0.7891   0.000  -0.7754   6.141
  27    511       2       12354                 23   1.1406   5.281  -1.3008  38.750
  28     11       1       12352                 24  -3.4844   0.000  -0.0881   0.289
  29    -11       1       12352                 24  -4.1406   0.000   0.1904   0.017
  30  -4122       2       12354                 27   1.0977   2.289  -1.2773  14.094

Event Number : 4
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      1      21       10625                 -1 24448.0000   0.000   0.0000   0.000
   1     -2      21       10625                 -1 -22784.0000   0.000   0.0000   0.000
   2    -24      22        4481                  0   3.5156  80.500   2.3594  61.625
   3     25      22        4481                  0   2.9922 125.000  -0.7812  61.625
   4    -24      62       10497                  2   3.5156  80.500   2.3594  62.125
   5     25      62       10497                  3   3.0000 125.000  -0.8008  60.625
   6     11      23       22913                  4   3.9141   0.000   2.3984  39.250
   7    -12      23        4481                  4   1.7070   0.000   2.2891  22.938
   8     11       1        8449                  6   3.9141   0.000   2.3984  39.250
   9     22       1       12289                  6   3.9141   0.000   2.3984   0.002
  10    -12       1        8449                  7   1.7070   0.000   2.2891  22.938
  11     35      22       14721                  5   1.8906  20.000  -1.6328  70.000
  12     35      22       31105                  5   2.6641  20.000   0.5176  53.500
  13      5      23        4481                 11   1.5625   0.000  -1.6094  26.812
  14     -5      23       22913                 11   2.0547   0.000  -1.6484  43.250
  15     22       1       12673                 12   2.3125   0.000   0.3691  30.688
  16     22       1       12673                 12   2.9609   0.000   0.7090  23.562
  17      5      71        8449                 13   1.5820   0.000  -1.6094  24.188
  18     -5      71        8449                 14   2.0938   0.000  -1.6406  28.438
  19   -523       2       28675                 14   1.6250   5.328  -1.6250  26.250
  20    513       2       28675                 14   2.0781   5.328  -1.6602  30.188
  21      1      71        8193                 -1  -4.4688   0.000  -0.2520   1.844
  22     -2      71        8193                 -1  -2.0078   0.000   2.6406   2.680
  23      2      71        8193                 -1   8.1250   0.000   0.1274   0.451
  24      2      71        8193                 -1  -7.2812   0.000  -2.4453   2.688
  25      2      71        8193                 -1  -3.7891   0.000   1.8945   0.619
  26   -521       2       12354                 19   1.6250   5.281  -1.6289  25.875
  27    511       2       12354                 20   2.0781   5.281  -1.6602  29.750
  28   -433       2       28738                 26   1.6523   2.109  -1.7539   5.750
  29    423       2       12354                 26   1.6133   2.008  -1.5938  20.188
  30    411       2       12354                 27   1.9766   0.000  -1.7305  17.938
  31     11       1       12352                 21   5.2500   0.000   0.7637   0.243
  32    -11       1       12352                 21   5.2500   0.000   0.7559   0.216
  33     11       1       12352                 23   5.0625   0.000   1.2305   0.131
  34    -11       1       12352                 23   5.1250   0.000   0.6074   0.015
  35   -431       2       12354                 28   1.6562   1.969  -1.7734   5.594
  36    421       2       12354                 29   1.6133   0.000  -1.5938  18.562

Event Number : 5
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23936.0000   0.000   0.0000   0.000
