# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  44     11       1       12352                 43  -2.8828   0.000   2.0938 0.49121
  45    -11       1       12352                 43  -2.9141   0.000   2.0938 0.10547

Event Number : 43
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      1      21       10625                 -1 23488.0000   0.000   0.0000 0.00000
   1     -2      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0   1.8398  79.250  -1.5312 68.25000
   3     25      22        4481                  0   2.7109 125.000   1.6094 68.25000
   4    -24      44         257                  2   1.8438  79.250  -1.5078 64.25000
   5     25      44         257                  3   2.6875 125.000   1.5898 71.50000
   6    -24      44         257                  4   1.8242  79.250  -1.4883 65.75000
   7     25      44         257                  5   2.7422 125.000   1.5391 67.75000
   8    -24      62       10497                  6   1.8164  79.250  -1.4883 66.50000
   9     25      62       10497                  7   2.7656 125.000   1.5352 66.50000
  10     11      23       22913                  8   2.1719   0.000  -1.6953 44.62500
  11    -12      23        4481                  8   0.1934   0.000  -1.1016 24.56250
  12     11       1        8449                 10   2.1719   0.000  -1.6914 6.93750
  13     22       1       12289                 10   2.1719   0.000  -1.6953 37.62500
  14    -12       1        8449                 11   0.1934   0.000  -1.1016 24.56250
  15     35      22       14721                  9   2.1406  40.000   1.2148 83.00000
  16     35      22       31105                  9   2.5078  40.000  -2.7344 28.93750
  17      5      23        4481                 15   2.1328   0.000   1.6094 49.12500
  18     -5      23       22913                 15   1.9414   0.000   0.7500 42.12500
  19     22      23       12673                 16   2.1094   0.000  -1.9375 27.06250
  20     22      23       22913                 16   1.8203   0.000   2.4531 21.81250
  21     22       1        8449                 20   1.8203   0.000   2.4531 21.81250
  22     11       1        8193                 19   2.1172   0.000  -1.9297 17.25000
  23     22       1       12289                 19   2.0938   0.000  -1.8945 0.21582
  24    -11       1        8193                 19   2.1094   0.000  -1.9570 9.56250
  25      5      73         257                 17   2.1328   0.000   1.6094 48.12500
  26      5      71        8449                 25   2.1328   0.000   1.6094 48.12500
  27     -5      71        8449                 18   1.9258   0.000   0.7402 38.62500
  28   -533       2       28675                 18   2.1328   5.422   1.5938 37.62500
  29    513       2       28675                 18   1.9375   5.328   0.7520 36.62500
  30      1      71        8193                 -1  -4.5312   0.000   1.5859 3.96875
  31     21      71        8193                 -1   3.8125   0.000   2.3750 6.00000
  32     -3      71        8193                 -1   7.9688   0.000   2.9688 0.05273
  33      3      71        8193                 -1   5.7656   0.000  -3.0156 4.03125
  34     21      71        8193                 -1  -3.9688   0.000   0.4385 9.34375
  35     -2      71        8193                 -1  -3.1172   0.000   2.3750 0.88867
  36   -531       2       12354                 28   2.1328   5.359   1.5938 37.00000
  37    511       2       12354                 29   1.9375   5.281   0.7520 36.37500
  38     11       1       12352                 33  -2.7188   0.000   0.5996 0.04468
  39    -11       1       12352                 33  -2.6562   0.000   0.6055 0.04175
  40   -433       2       28738                 36   2.1719   2.109   1.5234 18.06250
  41     16       1       12352                 37   4.5000   0.000  -2.9219 0.01062
  42    -15       2       12354                 37   1.9688   0.000   0.6973 21.12500
  43   -411       2       12354                 37   1.8789   0.000   0.8262 15.34375
  44     11       1       12352                 30  -2.7969   0.000  -1.2188 0.26172
  45    -11       1       12352                 30  -2.7656   0.000  -1.1797 0.15234
  46   -431       2       12354                 40   2.1641   1.969   1.5195 17.81250
  47    -16       1       12308                 42   1.9531   0.000   0.7656 9.40625
  48    -13       1       12308                 42   1.9141   0.000   0.6055 6.00000
  49     14       1       12308                 42   2.0391   0.000   0.6836 5.73438

Event Number : 79
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -3      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -23552.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0  -1.9414  82.500   3.0781 109.75000
   3     25      22        4481                  0  -2.0234 125.000  -0.0625 109.75000
   4     24      44         257                  2  -2.1875  82.500   3.0625 97.00000
   5     25      44         257                  3  -2.0234 125.000  -0.0477 123.75000
   6     24      44         257                  4  -2.1953  82.500   3.0781 96.75000
   7     25      44         257                  5  -2.0312 125.000  -0.0640 124.25000
   8     24      44         257                  6  -2.1875  82.500   3.0781 96.75000
   9     25      44         257                  7  -2.0234 125.000  -0.0649 124.25000
  10     24      62       10497                  8  -2.1875  82.500   3.0781 96.25000
  11     25      62       10497                  9  -2.0156 125.000  -0.0615 125.00000
  12    -11       1       12673                 10  -0.4971   0.000   2.0469 14.84375
  13     12       1       12673                 10  -2.2422   0.000  -3.0625 89.50000
  14     35      22       14721                 11  -1.7109  40.000   0.2959 109.75000
  15     35      22       31105                 11  -2.0469  40.000  -1.1094 44.37500
  16      5      23       22913                 14  -1.8906   0.000   0.1060 63.75000
  17     -5      23        4481                 14  -1.3555   0.000   0.5449 48.62500
  18     22      23       22913                 15  -2.1875   0.000  -0.7227 32.87500
  19     22      23       12673                 15  -1.0352   0.000  -1.8398 18.56250
  20    -11       1       12289                 19  -1.0352   0.000  -1.8398 7.46875
  21     11       1       12289                 19  -1.0312   0.000  -1.8398 11.12500
  22     22       1        8449                 18  -2.1875   0.000  -0.7227 32.87500
  23      5      71        8449                 16  -1.9062   0.000   0.1243 43.75000
  24     21      71        8193                 16  -1.9141   0.000   0.1218 14.40625
  25     21      71        8193                 16  -1.5977   0.000   0.0925 6.98438
  26     -5      71        8449                 17  -1.3555   0.000   0.5410 43.00000
  27   -523       2       28675                 16  -1.9062   5.328   0.1274 47.87500
  28    521       2       12291                 16  -1.3633   5.281   0.5449 40.75000
  29   -521       2       12354                 27  -1.9062   5.281   0.1279 47.62500
  30  -4224       2       12354                 28  -1.4219   2.508   0.4805 15.93750
  31    411       2       12354                 29  -1.8906   0.000   0.1367 24.31250
  32     11       1       12352                 16  -2.1172   0.000   0.1470 0.37500
  33    -11       1       12352                 16  -2.0781   0.000   0.1226 0.11792
  34  -4122       2       12354                 30  -1.4336   2.289   0.4844 14.78125
  35    -13       1       12352                 31  -1.8086   0.000   0.0630 1.37891
  36     14       1       12352                 31  -1.8555   0.000   0.0542 6.57812
  37     13       1       12352                 34  -1.6094   0.000   0.7402 0.26953
  38    -14       1       12352                 34  -1.4883   0.000   0.6094 4.71875

Event Number : 89
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23424.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   2.9922  79.250  -2.2344 14.84375
   3     25      22        4481                  0   4.1719 125.000   0.9062 14.84375
   4     24      44         257                  2   2.9141  79.250  -2.0859 16.12500
   5     25      44         257                  3   4.2188 125.000   0.7715 14.09375
   6     24      44         257                  4   2.8672  79.250  -2.1094 17.06250
   7     25      44         257                  5   4.2656 125.000   0.7754 13.28125
   8     24      62       10497                  6   2.8906  79.250  -2.0938 16.62500
   9     25      62       10497                  7   4.1875 125.000   0.7598 14.53125
  10    -11       1       12673                  8   0.4561   0.000  -2.9062 29.68750
  11     12       1       12673                  8   2.5234   0.000  -0.3486 21.87500
  12     35      22       14721                  9   1.7656  40.000   1.4258 26.68750
  13     35      22       31105                  9   3.8125  40.000  -1.1836 17.75000
  14      5      23       22913                 12   0.7871   0.000   1.9453 25.87500
  15     -5      23        4481                 12   2.0859   0.000   0.1738 13.43750
